EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
308,31,No,Travel_Rarely,Research & Development,22,2,Human Resources,1,4,Male,3,2,Healthcare Representative,2,Married,19395.0,17085,6,Y,No,22,4,2,80,1,16,5,1,36,35,0,17
309,52,Yes,Travel_Rarely,Research & Development,10,4,Technical Degree,1,3,Male,3,4,Manager,1,Single,7251.0,13699,9,Y,No,19,4,2,80,3,5,1,1,6,5,11,5
310,58,No,Travel_Rarely,Sales,10,5,Other,1,2,Male,2,2,Sales Executive,4,Single,5939.0,22845,3,Y,No,23,3,4,80,3,11,3,1,4,2,7,13
311,24,Yes,Travel_Rarely,Research & Development,10,2,Human Resources,1,1,Male,1,4,Manufacturing Director,3,Married,5006.0,16736,8,Y,Yes,19,3,1,80,2,14,2,2,10,10,2,16
312,58,No,Non-Travel,Sales,20,4,Marketing,1,4,Male,3,2,Sales Representative,3,Divorced,2625.0,4621,1,Y,No,15,3,3,80,2,16,2,3,14,4,13,17
313,30,No,Travel_Rarely,Sales,29,4,Technical Degree,1,3,Male,1,5,Manager,3,Married,11956.0,4529,8,Y,No,14,3,1,80,2,0,4,4,2,0,14,9
314,35,No,Travel_Rarely,Human Resources,16,3,Life Sciences,1,4,Female,2,5,Human Resources,3,Married,18274.0,12349,9,Y,No,22,3,4,80,0,13,3,1,4,4,4,17
315,54,No,Travel_Rarely,Research & Development,1,4,Other,1,1,Male,3,1,Laboratory Technician,4,Single,7078.0,25546,2,Y,Yes,19,3,4,80,2,1,4,2,22,17,0,3
316,30,Yes,Travel_Rarely,Research & Development,17,4,Technical Degree,1,1,Female,4,2,Manager,2,Single,9923.0,16741,1,Y,Yes,19,3,1,80,3,3,6,4,36,25,0,14
317,53,No,Travel_Rarely,Research & Development,26,1,Marketing,1,2,Male,4,1,Laboratory Technician,2,Married,4961.0,10351,3,Y,No,25,3,4,80,1,1,5,1,8,1,5,5
318,48,No,Travel_Rarely,Sales,21,4,Marketing,1,1,Female,3,4,Sales Executive,3,Divorced,19888.0,12294,4,Y,No,13,3,1,80,3,25,0,4,14,3,2,5
319,19,No,Travel_Rarely,Sales,29,5,Technical Degree,1,3,Female,4,1,Manager,2,Married,9806.0,13000,1,Y,No,15,3,1,80,1,39,6,2,2,2,7,2
320,33,No,Non-Travel,Sales,14,2,Medical,1,4,Female,3,2,Sales Representative,3,Divorced,19103.0,12191,0,Y,No,13,4,2,80,3,32,2,4,28,19,3,8
321,26,No,Travel_Rarely,Research & Development,19,5,Other,1,1,Female,4,4,Laboratory Technician,3,Single,14558.0,8399,9,Y,Yes,20,3,4,80,0,38,1,1,5,3,5,10
322,26,No,Travel_Rarely,Research & Development,21,5,Human Resources,1,1,Male,2,4,Manager,1,Married,7686.0,4581,4,Y,No,12,3,4,80,2,5,2,4,16,5,12,4
323,55,No,Non-Travel,Research & Development,21,3,Human Resources,1,3,Female,4,5,Manager,4,Married,2587.0,24949,8,Y,No,11,3,2,80,3,29,0,4,25,22,9,13
324,28,No,Travel_Rarely,Sales,17,1,Marketing,1,4,Male,4,4,Sales Representative,4,Divorced,10803.0,15926,4,Y,Yes,22,3,2,80,2,21,1,1,20,18,11,1
325,39,Yes,Travel_Rarely,Human Resources,14,1,Technical Degree,1,4,Male,2,4,Human Resources,3,Single,18280.0,25489,9,Y,Yes,20,3,2,80,0,26,3,2,7,2,8,7
326,50,Yes,Travel_Frequently,Research & Development,8,5,Medical,1,2,Male,2,1,Manufacturing Director,4,Single,11350.0,25340,8,Y,No,12,3,3,80,0,18,3,2,20,1,13,12
327,53,No,Travel_Rarely,Research & Development,21,2,Other,1,2,Male,4,4,Manager,2,Single,19816.0,21318,9,Y,No,18,3,4,80,2,9,6,4,10,10,7,4
328,40,No,Non-Travel,Research & Development,21,1,Life Sciences,1,4,Male,1,3,Research Scientist,3,Divorced,12454.0,20695,5,Y,No,21,3,1,80,2,5,2,3,37,7,3,14
329,51,No,Travel_Rarely,Research & Development,9,1,Human Resources,1,3,Female,1,5,Research Director,1,Single,16849.0,21179,2,Y,Yes,18,4,1,80,1,25,1,4,7,4,9,3
330,26,No,Travel_Rarely,Sales,8,5,Other,1,3,Male,3,5,Manager,2,Single,7837.0,17168,3,Y,No,13,4,1,80,2,2,5,3,23,10,7,3
331,41,Yes,Travel_Rarely,Research & Development,13,1,Other,1,2,Female,4,4,Laboratory Technician,1,Married,,6328,3,Y,Yes,17,3,4,80,2,2,1,4,34,17,14,17
332,25,No,Travel_Rarely,Research & Development,17,3,Medical,1,1,Female,3,1,Healthcare Representative,1,Married,6454.0,8823,0,Y,No,17,4,3,80,1,5,4,2,13,6,6,8
333,24,No,Travel_Frequently,Sales,19,5,Other,1,3,Male,2,5,Sales Representative,4,Divorced,10424.0,22712,2,Y,No,12,3,4,80,3,9,0,4,13,13,4,14
334,53,No,Travel_Rarely,Sales,28,1,Human Resources,1,1,Male,4,5,Manager,4,Divorced,5117.0,21972,2,Y,Yes,19,3,4,80,1,37,6,4,9,1,6,11
335,35,No,Non-Travel,Sales,7,1,Technical Degree,1,3,Female,2,3,Sales Representative,3,Married,9869.0,21500,0,Y,Yes,13,3,4,80,3,12,3,3,11,5,6,3
336,20,No,Travel_Rarely,Sales,17,1,Human Resources,1,4,Male,4,4,Sales Representative,4,Divorced,11850.0,23037,8,Y,No,12,3,4,80,3,37,2,2,37,9,13,2
337,45,No,Travel_Rarely,Research & Development,1,5,Life Sciences,1,2,Male,4,5,Manufacturing Director,1,Married,19412.0,5747,0,Y,No,22,3,4,80,3,11,1,3,33,8,12,4
338,23,No,Travel_Rarely,Research & Development,5,2,Technical Degree,1,1,Female,2,5,Laboratory Technician,1,Single,15343.0,25208,8,Y,No,13,4,3,80,1,26,3,4,40,34,9,16
339,38,No,Travel_Frequently,Research & Development,25,4,Marketing,1,1,Male,4,5,Laboratory Technician,2,Divorced,7845.0,3459,0,Y,No,12,3,2,80,1,7,2,1,9,2,1,4
340,45,No,Travel_Frequently,Sales,6,1,Medical,1,4,Male,4,5,Sales Executive,1,Married,5624.0,6430,1,Y,No,25,3,1,80,0,4,3,4,16,6,6,3
341,57,No,Non-Travel,Research & Development,26,4,Human Resources,1,3,Male,3,1,Laboratory Technician,3,Married,9848.0,20835,1,Y,Yes,18,4,4,80,3,35,2,4,16,13,2,6
342,18,Yes,Non-Travel,Research & Development,2,4,Technical Degree,1,1,Male,2,2,Research Scientist,3,Married,17549.0,9331,5,Y,No,15,4,4,80,1,37,3,3,2,2,7,6
343,53,No,Travel_Rarely,Sales,27,1,Other,1,3,Male,1,3,Sales Executive,4,Married,14136.0,22474,6,Y,No,13,3,4,80,0,29,5,1,30,6,7,6
344,38,Yes,Travel_Rarely,Research & Development,25,1,Technical Degree,1,4,Male,1,1,Manager,4,Single,1589.0,13180,0,Y,No,15,3,1,80,3,36,4,1,0,0,8,16
345,60,No,Travel_Rarely,Research & Development,16,4,Human Resources,1,2,Male,4,3,Research Scientist,4,Married,7509.0,10963,2,Y,No,21,3,3,80,1,28,0,3,11,8,10,14
346,52,No,Non-Travel,Research & Development,22,2,Marketing,1,1,Male,3,5,Manufacturing Director,3,Divorced,8693.0,23425,1,Y,Yes,21,3,1,80,1,21,3,2,38,20,3,6
347,30,No,Travel_Rarely,Research & Development,5,4,Human Resources,1,3,Female,4,3,Manager,1,Married,10454.0,19495,7,Y,No,18,3,3,80,1,13,0,1,3,1,9,14
348,27,No,Travel_Rarely,Sales,5,2,Marketing,1,1,Male,3,4,Sales Executive,4,Single,17455.0,13503,8,Y,No,17,3,2,80,2,9,3,1,12,10,2,3
349,27,No,Non-Travel,Research & Development,12,3,Other,1,3,Female,4,4,Manager,2,Divorced,12708.0,14598,1,Y,No,16,3,4,80,0,10,6,3,33,14,8,1
350,30,No,Travel_Rarely,Research & Development,3,2,Human Resources,1,3,Male,1,2,Manager,4,Single,13942.0,11786,1,Y,No,24,3,3,80,1,34,1,2,20,18,8,12
351,54,No,Travel_Rarely,Research & Development,16,5,Technical Degree,1,3,Male,2,2,Manager,3,Married,17652.0,12921,9,Y,Yes,23,3,1,80,2,22,4,2,21,15,1,11
352,55,No,Travel_Rarely,Research & Development,6,1,Life Sciences,1,4,Female,3,3,Research Director,4,Single,10968.0,11473,8,Y,No,11,3,3,80,0,7,6,4,3,1,15,9
353,41,No,Non-Travel,Research & Development,15,3,Life Sciences,1,2,Female,4,1,Manufacturing Director,1,Single,3462.0,21969,3,Y,No,20,3,3,80,0,20,5,4,17,11,5,14
354,19,No,Non-Travel,Sales,15,4,Other,1,1,Male,4,1,Manager,4,Married,10460.0,25985,4,Y,No,11,3,2,80,2,36,4,3,4,1,15,16
355,39,No,Travel_Rarely,Sales,29,2,Technical Degree,1,2,Male,3,5,Manager,3,Married,2015.0,16464,8,Y,No,11,3,4,80,0,27,0,2,18,12,2,5
356,34,Yes,Travel_Rarely,Research & Development,16,3,Life Sciences,1,3,Male,3,1,Research Scientist,3,Divorced,10275.0,13020,5,Y,No,24,3,4,80,2,30,1,3,1,0,4,4
357,53,No,Travel_Rarely,Sales,20,5,Other,1,3,Female,1,2,Sales Representative,2,Divorced,14269.0,4373,9,Y,No,20,3,1,80,3,27,2,4,11,3,15,12
358,31,No,Travel_Rarely,Research & Development,13,2,Marketing,1,2,Male,3,1,Research Scientist,3,Divorced,1406.0,16352,8,Y,Yes,24,3,1,80,1,26,6,3,16,13,1,13
359,27,No,Travel_Rarely,Human Resources,12,4,Technical Degree,1,2,Male,4,5,Human Resources,2,Married,8384.0,25226,8,Y,Yes,18,3,2,80,2,39,4,3,9,7,14,13
360,52,No,Travel_Rarely,Research & Development,10,4,Marketing,1,1,Female,1,4,Research Director,1,Married,12268.0,17344,6,Y,No,18,3,3,80,0,20,5,1,33,8,3,14
361,42,Yes,Non-Travel,Research & Development,14,2,Technical Degree,1,3,Female,1,1,Laboratory Technician,3,Divorced,18369.0,10533,9,Y,No,24,3,3,80,0,8,6,1,5,0,10,15
362,20,Yes,Travel_Rarely,Research & Development,2,5,Marketing,1,2,Female,2,1,Research Director,4,Married,12795.0,23482,8,Y,No,17,3,1,80,3,28,1,1,7,2,2,9
363,55,No,Travel_Rarely,Research & Development,29,1,Marketing,1,4,Male,2,2,Laboratory Technician,1,Divorced,5485.0,15125,4,Y,No,16,4,4,80,3,14,1,4,10,2,1,0
364,34,No,Travel_Rarely,Research & Development,3,1,Life Sciences,1,3,Female,2,3,Manufacturing Director,4,Married,9901.0,6723,4,Y,Yes,14,3,3,80,3,32,0,3,11,4,5,10
365,29,No,Non-Travel,Human Resources,9,4,Technical Degree,1,3,Female,3,4,Human Resources,4,Married,3618.0,21202,7,Y,No,11,3,2,80,3,36,5,1,8,4,10,6
366,41,Yes,Travel_Rarely,Research & Development,11,5,Human Resources,1,1,Female,1,3,Manufacturing Director,4,Married,10603.0,21309,9,Y,No,25,3,1,80,3,35,1,1,1,1,2,16
367,46,No,Non-Travel,Human Resources,11,4,Life Sciences,1,4,Female,3,5,Human Resources,1,Married,7928.0,11464,3,Y,No,25,3,3,80,1,27,1,1,7,1,3,3
368,60,No,Travel_Frequently,Human Resources,25,1,Marketing,1,1,Female,1,5,Manager,1,Married,6368.0,2709,8,Y,Yes,19,3,4,80,2,9,2,4,10,0,5,6
369,42,No,Travel_Rarely,Sales,22,4,Marketing,1,4,Male,4,3,Sales Executive,3,Married,5621.0,8992,6,Y,Yes,25,3,4,80,3,22,0,4,35,7,11,2
370,53,No,Travel_Rarely,Sales,10,2,Human Resources,1,1,Male,3,2,Manager,4,Married,15719.0,2738,6,Y,No,11,3,2,80,3,27,0,3,9,2,12,13
371,43,No,Travel_Rarely,Sales,26,2,Human Resources,1,4,Female,1,2,Sales Representative,2,Divorced,12126.0,15233,2,Y,Yes,14,3,2,80,1,33,5,3,20,16,11,17
372,55,Yes,Travel_Rarely,Sales,14,5,Marketing,1,4,Male,2,2,Sales Representative,3,Divorced,8566.0,16692,3,Y,Yes,13,3,1,80,2,4,1,3,19,16,14,17
373,18,Yes,Travel_Frequently,Sales,9,1,Human Resources,1,4,Male,2,4,Sales Executive,1,Single,13306.0,6590,6,Y,Yes,17,3,1,80,3,17,2,1,7,2,4,0
374,37,No,Travel_Rarely,Research & Development,20,5,Medical,1,2,Male,4,5,Manufacturing Director,2,Single,16086.0,15718,4,Y,No,15,4,4,80,2,5,3,2,35,30,3,5
375,45,No,Travel_Rarely,Sales,27,5,Life Sciences,1,3,Female,3,5,Manager,1,Married,18387.0,24471,2,Y,No,15,4,4,80,2,22,4,4,28,1,12,8
376,33,No,Travel_Rarely,Research & Development,21,1,Technical Degree,1,4,Male,1,5,Manager,2,Married,19850.0,5718,0,Y,No,14,3,3,80,1,27,6,1,11,5,13,1
377,34,No,Travel_Rarely,Research & Development,10,3,Human Resources,1,2,Female,2,4,Research Director,3,Single,,15105,6,Y,No,11,4,3,80,1,40,0,1,13,5,11,7
378,57,No,Non-Travel,Sales,22,3,Human Resources,1,2,Male,1,5,Manager,2,Married,19019.0,10201,5,Y,No,15,3,3,80,3,12,2,3,20,13,3,3
379,45,No,Non-Travel,Research & Development,29,4,Medical,1,1,Male,3,3,Manager,3,Divorced,10890.0,7081,9,Y,Yes,14,3,2,80,0,24,5,3,21,2,1,9
380,29,Yes,Travel_Rarely,Sales,9,3,Technical Degree,1,3,Male,2,1,Sales Representative,1,Divorced,9095.0,18054,6,Y,No,24,3,2,80,1,6,2,1,20,11,11,0
381,44,No,Travel_Rarely,Sales,29,2,Medical,1,3,Male,4,4,Manager,2,Married,13719.0,11929,1,Y,No,20,3,3,80,2,1,1,4,29,3,12,10
382,59,No,Travel_Rarely,Research & Development,5,5,Technical Degree,1,1,Female,4,1,Healthcare Representative,4,Married,11283.0,20962,3,Y,No,23,3,4,80,2,15,4,4,38,11,9,8
383,47,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,3,Female,3,3,Healthcare Representative,4,Married,19279.0,19942,1,Y,Yes,18,3,1,80,3,1,0,1,19,12,12,10
384,58,No,Travel_Rarely,Research & Development,11,5,Human Resources,1,1,Female,3,2,Research Director,1,Single,15231.0,22384,7,Y,Yes,12,3,2,80,3,35,3,2,23,1,15,3
385,51,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,2,Male,1,2,Healthcare Representative,2,Married,15698.0,6545,6,Y,No,18,3,2,80,3,1,1,2,22,1,3,4
386,54,Yes,Travel_Rarely,Research & Development,21,3,Technical Degree,1,2,Male,4,2,Laboratory Technician,4,Single,18457.0,7339,0,Y,No,11,3,3,80,2,37,0,4,6,6,11,16
387,23,Yes,Travel_Rarely,Sales,10,1,Human Resources,1,4,Male,3,4,Sales Representative,3,Married,6184.0,17353,1,Y,Yes,23,3,1,80,1,9,6,3,8,6,7,17
388,24,No,Non-Travel,Sales,1,4,Medical,1,1,Male,3,2,Sales Executive,2,Married,3402.0,21100,1,Y,No,14,3,2,80,0,13,5,2,0,0,4,4
389,49,No,Travel_Rarely,Research & Development,26,2,Marketing,1,2,Male,4,4,Laboratory Technician,2,Married,5895.0,6302,3,Y,No,13,3,1,80,1,26,0,2,25,16,15,17
390,49,No,Travel_Rarely,Research & Development,22,3,Medical,1,2,Female,1,4,Manager,4,Married,12404.0,3809,2,Y,No,15,3,2,80,0,14,2,3,37,31,13,16
391,42,No,Travel_Rarely,Human Resources,7,1,Marketing,1,1,Male,1,1,Human Resources,3,Married,16161.0,7830,0,Y,No,23,3,1,80,1,20,6,2,37,6,13,2
392,50,Yes,Travel_Rarely,Research & Development,28,3,Medical,1,2,Male,4,2,Laboratory Technician,3,Single,10343.0,20381,1,Y,Yes,15,3,1,80,3,11,4,1,21,13,14,10
393,24,No,Non-Travel,Research & Development,14,5,Technical Degree,1,3,Female,4,5,Research Director,3,Single,11637.0,18156,8,Y,Yes,15,3,2,80,2,32,3,2,9,0,13,16
394,29,Yes,Non-Travel,Research & Development,5,2,Life Sciences,1,2,Male,4,2,Research Scientist,2,Married,2956.0,17869,0,Y,Yes,22,3,1,80,0,39,4,3,5,5,10,7
395,33,Yes,Non-Travel,Research & Development,17,3,Marketing,1,1,Female,4,2,Healthcare Representative,1,Single,8023.0,21315,8,Y,No,14,4,4,80,1,21,2,1,16,5,9,7
396,33,No,Non-Travel,  research & development  ,22,2,Technical Degree,1,3,Female,4,2,Human Resources,2,Single,15062.0,4130,6,Y,Yes,18,3,2,80,2,37,3,2,37,23,9,1
397,60,No,Non-Travel,Research & Development,26,5,Life Sciences,1,3,Male,3,5,Healthcare Representative,2,Married,15333.0,6412,1,Y,No,13,3,2,80,0,17,3,4,23,5,7,6
398,53,No,Travel_Rarely,Research & Development,21,5,Life Sciences,1,2,Male,2,5,Research Director,4,Married,4907.0,12884,1,Y,Yes,22,3,4,80,0,1,1,1,9,1,5,5
399,30,No,Travel_Frequently,Research & Development,6,1,Human Resources,1,4,Female,4,4,Research Scientist,1,Married,1807.0,24897,4,Y,No,14,3,1,80,2,28,3,1,7,7,15,17
400,24,No,Travel_Frequently,Research & Development,16,4,Human Resources,1,3,Male,2,5,Manufacturing Director,3,Married,15031.0,4796,4,Y,No,11,3,4,80,3,6,0,4,20,4,11,6
401,53,Yes,Travel_Frequently,Sales,11,1,Human Resources,1,1,Male,1,4,Sales Representative,4,Divorced,5827.0,26132,3,Y,Yes,17,3,2,80,2,30,4,4,5,5,9,17
402,26,No,Travel_Rarely,Human Resources,10,2,Marketing,1,4,Female,3,1,Manager,2,Divorced,14699.0,16007,9,Y,Yes,11,3,4,80,3,40,5,2,20,1,4,11
403,49,No,Travel_Rarely,Research & Development,15,1,Marketing,1,4,Male,2,4,Healthcare Representative,1,Single,5524.0,16965,9,Y,No,25,3,1,80,1,17,5,2,38,14,3,6
404,28,No,Non-Travel,Research & Development,7,3,Life Sciences,1,3,Male,1,2,Manufacturing Director,3,Divorced,16193.0,24707,2,Y,Yes,12,3,4,80,1,8,4,3,23,10,9,6
405,25,No,Non-Travel,Research & Development,23,1,Marketing,1,2,Female,1,3,Research Scientist,3,Married,17223.0,8745,3,Y,Yes,21,3,2,80,2,7,1,3,32,21,8,0
406,50,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,4,Female,1,3,Manufacturing Director,2,Divorced,19668.0,14887,9,Y,Yes,17,3,1,80,3,32,3,1,17,0,9,9
407,40,No,Travel_Rarely,Research & Development,12,4,Technical Degree,1,2,Male,4,2,Manufacturing Director,3,Married,6313.0,7202,3,Y,No,11,4,2,80,1,4,2,4,27,17,13,9
408,42,No,Travel_Rarely,Sales,19,2,Medical,1,3,Male,3,4,Manager,3,Married,14598.0,3555,1,Y,No,21,4,2,80,3,13,6,4,31,11,4,11
409,25,No,Travel_Rarely,Human Resources,12,5,Life Sciences,1,1,Male,1,2,Manager,1,Married,14058.0,13882,4,Y,No,13,3,3,80,3,12,6,3,11,11,9,2
410,39,No,Travel_Rarely,Sales,16,4,Life Sciences,1,4,Male,4,5,Sales Executive,4,Married,18141.0,13764,4,Y,No,23,3,2,80,3,10,0,1,26,24,15,2
411,21,No,Travel_Rarely,Research & Development,6,2,Technical Degree,1,1,Female,2,4,Research Director,1,Divorced,5887.0,26565,4,Y,No,16,4,2,80,2,19,1,1,9,7,14,12
412,57,Yes,Travel_Rarely,Human Resources,3,4,Human Resources,1,2,Female,3,2,Human Resources,4,Single,4854.0,6443,9,Y,No,16,3,1,80,3,22,6,3,31,27,10,12
413,20,No,Travel_Frequently,Human Resources,2,4,Other,1,2,Female,2,5,Manager,4,Single,13458.0,15583,0,Y,No,16,3,1,80,2,26,3,3,25,6,5,5
414,-1,No,Travel_Frequently,Research & Development,20,5,Human Resources,1,1,Male,2,5,Manufacturing Director,4,Married,15536.0,10522,5,Y,Yes,21,3,1,80,1,14,5,3,24,22,14,2
415,58,No,Travel_Rarely,Research & Development,5,3,Human Resources,1,3,Male,4,4,Research Director,3,Divorced,4558.0,23089,1,Y,No,23,4,4,80,1,29,2,2,10,4,6,14
416,46,No,Non-Travel,Research & Development,11,2,Life Sciences,1,3,Male,2,1,Manufacturing Director,1,Married,10772.0,12136,6,Y,No,12,4,4,80,0,15,3,1,22,1,10,8
417,51,No,Travel_Rarely,Sales,26,4,Life Sciences,1,4,Male,3,1,Sales Representative,3,Married,18345.0,23223,3,Y,No,12,3,1,80,0,39,1,1,33,10,11,5
418,51,Yes,Travel_Rarely,Research & Development,25,4,Marketing,1,4,Male,2,5,Laboratory Technician,2,Married,4575.0,22342,4,Y,Yes,16,3,4,80,1,17,2,1,39,21,15,5
419,45,Yes,Travel_Rarely,Research & Development,3,1,Marketing,1,3,Male,4,1,Research Director,1,Single,3418.0,23048,4,Y,Yes,20,3,3,80,3,22,6,3,22,9,10,7
420,30,No,Non-Travel,Research & Development,3,3,Medical,1,3,Male,1,5,Manufacturing Director,4,Married,5198.0,11876,4,Y,Yes,15,3,4,80,3,35,2,3,28,2,12,10
421,32,Yes,Travel_Rarely,Research & Development,22,5,Medical,1,1,Female,4,1,Manager,3,Married,2001.0,2746,1,Y,Yes,24,3,3,80,1,37,2,3,30,19,0,15
422,40,No,Travel_Rarely,Research & Development,5,2,Other,1,2,Female,1,5,Research Director,3,Divorced,8119.0,4184,4,Y,No,17,3,1,80,1,7,2,3,6,4,8,8
423,43,Yes,Travel_Frequently,Sales,22,4,Marketing,1,2,Male,2,5,Manager,1,Single,10673.0,26330,2,Y,No,17,3,1,80,0,38,6,4,39,27,11,10
424,21,No,Travel_Rarely,Research & Development,23,2,Life Sciences,1,4,Male,1,5,Healthcare Representative,1,Married,6316.0,16052,3,Y,No,15,3,4,80,3,28,3,3,32,17,7,15
425,43,No,Travel_Rarely,Sales,11,5,Technical Degree,1,3,Female,4,5,Sales Representative,4,Single,17244.0,11576,1,Y,Yes,18,4,1,80,1,11,2,2,20,13,11,5
426,57,No,Travel_Rarely,Research & Development,3,3,Marketing,1,1,Female,4,3,Manager,4,Single,17806.0,23705,3,Y,Yes,20,3,1,80,0,17,3,4,1,1,15,16
427,26,No,Non-Travel,Research & Development,13,1,Life Sciences,1,4,Male,3,1,Research Director,2,Married,12873.0,11210,8,Y,Yes,16,3,2,80,0,18,2,4,17,7,10,15
428,22,No,Travel_Rarely,Research & Development,21,3,Marketing,1,1,Female,3,5,Research Director,4,Married,5266.0,17079,7,Y,No,25,3,1,80,3,35,2,3,32,7,15,17
429,49,No,Travel_Rarely,Research & Development,8,1,Human Resources,1,3,Female,1,2,Manager,3,Single,8549.0,9148,2,Y,No,15,3,2,80,0,32,1,1,36,3,14,0
430,37,No,Travel_Rarely,Sales,20,2,Marketing,1,3,Male,1,4,Sales Executive,2,Single,11589.0,14855,0,Y,Yes,14,3,1,80,0,4,3,3,33,26,4,17
431,28,Yes,Travel_Rarely,Sales,10,3,Other,1,3,Male,3,2,Sales Representative,2,Married,2657.0,17473,0,Y,Yes,17,4,3,80,2,38,5,1,19,3,2,7
432,32,Yes,Travel_Rarely,Research & Development,2,3,Human Resources,1,2,Male,2,2,Laboratory Technician,2,Divorced,19925.0,20408,5,Y,No,14,3,3,80,1,27,3,3,34,4,4,9
433,49,Yes,Travel_Rarely,Research & Development,4,3,Life Sciences,1,3,Male,3,3,Manager,1,Married,,24557,2,Y,No,15,3,1,80,3,25,4,3,17,0,15,1
434,45,No,Travel_Rarely,Sales,18,5,Human Resources,1,4,Male,2,1,Manager,4,Married,4164.0,11734,3,Y,No,15,3,3,80,1,20,6,1,23,16,4,8
435,39,Yes,Non-Travel,Sales,19,2,Marketing,1,2,Female,1,3,Sales Executive,2,Single,19437.0,16219,0,Y,No,11,3,3,80,2,22,5,1,7,1,8,3
436,58,No,Travel_Rarely,Research & Development,4,1,Human Resources,1,1,Female,1,1,Manager,1,Divorced,9479.0,21095,7,Y,Yes,25,3,3,80,3,20,1,1,29,29,6,10
437,34,Yes,Travel_Rarely,Sales,20,3,Other,1,4,Male,4,5,Sales Representative,1,Married,6737.0,13238,0,Y,No,11,3,4,80,1,10,3,1,9,7,12,9
438,43,No,Travel_Rarely,Research & Development,26,2,Technical Degree,1,4,Male,4,3,Research Director,2,Divorced,18831.0,25402,4,Y,No,13,3,3,80,0,38,1,2,22,6,1,13
439,24,Yes,Travel_Frequently,Research & Development,9,5,Human Resources,1,1,Female,2,4,Laboratory Technician,2,Single,7009.0,16357,5,Y,No,25,3,2,80,3,15,5,1,10,9,4,6
440,59,No,Travel_Rarely,Sales,16,5,Other,1,2,Male,2,1,Manager,3,Married,17991.0,9197,1,Y,No,24,4,4,80,2,32,1,3,1,0,15,5
441,43,Yes,Non-Travel,Sales,26,2,Human Resources,1,4,Male,3,3,Sales Representative,2,Married,5552.0,3702,6,Y,Yes,21,3,2,80,0,26,1,3,25,4,8,15
442,42,No,Travel_Rarely,Human Resources,6,1,Medical,1,4,Female,2,4,Manager,3,Single,19148.0,7529,6,Y,No,13,4,2,80,2,0,0,2,35,33,13,12
443,27,No,Travel_Rarely,Research & Development,25,2,Technical Degree,1,4,Male,1,2,Research Director,2,Single,10417.0,9216,0,Y,Yes,12,3,2,80,0,15,3,1,32,6,10,11
444,36,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,2,Male,1,5,Research Scientist,2,Married,10221.0,14612,3,Y,No,22,3,4,80,1,4,1,3,12,7,12,14
445,28,No,Travel_Rarely,Research & Development,9,4,Other,1,2,Male,1,5,Research Director,4,Married,3671.0,9655,3,Y,No,12,3,1,80,1,17,0,2,39,27,1,7
446,30,No,Travel_Rarely,Human Resources,27,5,Human Resources,1,2,Male,4,2,Human Resources,2,Single,7519.0,7417,4,Y,No,16,3,3,80,1,40,0,3,24,6,7,3
447,25,No,Travel_Rarely,Human Resources,13,1,Technical Degree,1,4,Male,2,3,Manager,2,Married,4962.0,18133,0,Y,No,23,3,3,80,2,33,2,2,3,1,11,7
448,57,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,3,Male,2,2,Laboratory Technician,3,Single,13734.0,8324,0,Y,No,11,3,1,80,3,24,2,2,18,6,2,15
449,21,No,Travel_Rarely,Research & Development,6,2,Technical Degree,1,1,Female,4,4,Research Director,3,Single,14122.0,22257,6,Y,Yes,16,3,1,80,1,33,6,4,17,13,3,15
450,48,No,Travel_Rarely,Sales,21,5,Other,1,3,Male,4,1,Sales Executive,4,Married,4722.0,10313,8,Y,No,15,3,2,80,2,14,5,4,36,3,1,1
451,45,No,Travel_Rarely,Research & Development,19,4,Medical,1,2,Male,4,3,Research Director,2,Single,5906.0,16459,0,Y,No,16,3,4,80,0,3,3,1,29,9,8,16
452,28,No,Travel_Rarely,Research & Development,14,4,Other,1,4,Male,1,1,Laboratory Technician,2,Married,8263.0,18649,1,Y,Yes,15,3,2,80,1,3,2,4,18,17,5,4
453,60,No,Travel_Frequently,Research & Development,21,1,Other,1,4,Male,2,2,Research Director,3,Married,14699.0,26603,5,Y,No,17,3,3,80,0,24,5,2,22,11,14,4
454,18,Yes,Travel_Rarely,Human Resources,15,2,Life Sciences,1,3,Female,3,5,Human Resources,1,Married,12088.0,23762,5,Y,No,11,3,1,80,1,40,3,3,15,15,8,11
455,55,No,Non-Travel,Sales,3,1,Life Sciences,1,3,Male,3,1,Sales Executive,1,Married,1808.0,20508,1,Y,No,23,3,3,80,0,12,5,3,0,0,13,6
